Count, RoleName, Alignment, Color, RoleType, Abilities
3,Survivor,Neutral,#e68c1e,,"While alive, you can win with any team. You cannot be killed at night."


2,Serial Killer,Serial Killer,#000099,Killing,"You may kill one player each night.\13\\13\You are immune to roleblocks.\13\If you would be roleblocked, you also kill the roleblocker(s).\13\\13\You cannot die to werewolves or other serial killers.\13\You will not know if anyone visits you."
2,Arsonist,Arsonist,#AAAA00,Killing,"Each night, choose a player to douse them OR point at yourself to ignite all doused players."


1,Framer,Werewolf Team,#AA0000,Deceptive,"Each night, choose a living player to be framed the current night and next day.\13\\13\While a player is framed, they will register as any non-Town non-Neutral role (gamemaster chooses each time)."
1,Hypnotist,Werewolf Team,#AA0000,Deceptive,"Each night, pick someone to hypnotize. If they are a Town Investigative they are roleblocked this night and next day.\13\\13\(A roleblocked player's power(s) do not work. If they would get info, the gamemaster chooses what info they get instead.)\13\\13\You are immune to roleblocks."
1,Chaos Wolf,Werewolf,#AA0000,"Killing, Deceptive","You start the game by being the only werewolf.\13\Others might join you later, such as the Cursed.\13\\13\All Town Investigative powers give false information (about everything)."
1,Wolf Man,Werewolf,#AA0000,"Killing, Deceptive","You register as any Town/Neutral role at all times (gamemaster chooses each time)."
1,Psychic Wolf,Werewolf,#AA0000,"Killing, Investigative","On the first night, after the hunt, you are shown 3 role cards that no player has.\13\Players may still have copies of that card."
1,Black Wolf,Werewolf,#AA0000,Support,"Werewolf. Each night after the hunt, if you are not the only werewolf, choose a player to be silenced next day."
3,Werewolf,Werewolf,#AA0000,Killing,"Each night, wake with other werewolves to hunt (kill a player)."
